5113725,Bualnaluib Primary School,1835-2-14,Aultbea Achnasheen,01445 731254 Primary 34 3.5 Open
5113822,Conon Primary School,1958-7-7,Leanaig Road Conon Bridge,01349 861867 01349 866629 Primary 141 7.6 Open
5114128,Cromarty Primary School,1821-11-18,Braehead Cromarty,01381 600465 Primary 96 4.8 Open
5114225,Coulhill Primary School,1931-8-13,Alness Ross-shire,01349 882713 01349 884622 Primary 271 16.2 Open
5114322,Culbokie Primary School,1817-12-22,Culbokie Dingwall,01349 877268 Primary 82 4.5 Open
5114527,Cullicudden Primary School,1942-3-22,Cullicudden By Dingwall,01349 877208 Primary 36 2.5 Open
5114624,Dingwall Primary School,1855-1-16,Tulloch Castle Drive Dingwall,01349 862081 01349 861157 Primary 474 26.7 Open
5114721,North Kessock Primary School,1815-8-20,North Kessock Ferry Brae,01463 731667 01463 731769 Primary 100 6.0 Open
5114829,Edderton Primary School,1864-6-26,Edderton Tain,01862 821260 Primary 30 2.0 Open
5114926,Ferintosh Primary School,1943-6-7,Ferintosh Easter Kinkell Dingwall,01349 861827 Primary 37 1.2 Open
5115221,Hill of Fearn Primary School,1844-7-24,Rhynie Road Fearn,01862 832257 Primary 49 3.2 Open
5115329,Hilton of Cadboll Primary School,1916-8-19,Hilton Fearn Tain,01862 832272 Primary 122 8.3 Open
5115426,Inver Primary School,1833-7-8,Inver Tain,01862 871431 Primary 38 2.7 Open
5115523,Inverasdale Primary School,1811-6-27,Inverasdale Poolewe,01445 781246 Primary 21 2.3 Open
5115620,South Lodge Primary School,1808-1-10,Castle Road Invergordon Ross-shire,01349 852521 Primary 154 9.3 Open
5115922,Kiltearn Primary School,1930-7-6,Drummond Road Evanton,01349 830568 01349 830568 Primary 161 8.7 Open
5116023,Kinlochewe Primary School,1978-10-2,Kinlochewe Achnasheen Ross-shire,01445 760260 01445 760260 Primary 16 1.9 Open
5116120,Lochcarron Primary School,1842-10-16,Strathcarron,01520 722445 Primary 64 4.2 Open
5116325,Marybank Primary School,1947-11-10,Urray Muir Of Ord,01997 433320 01997 433400 Primary 44 3.0 Open
5116422,Maryburgh Primary School,1828-7-21,Hood Street Maryburgh Dingwall,01349 861821 01349 861821 Primary 117 11.0 Open
5116627,Mulbuie Primary School,1977-6-27,Muir Of Ord,01349 861289 Primary 56 3.9 Open
5116724,Munlochy Primary School,1828-8-17,56 Millbank Road Munlochy,01463 811489 Primary 81 4.9 Open
5116821,Newhall Primary School,1953-1-24,Balblair Dingwall,01381 610227 Primary 50 3.4 Open
5116929,Newmore Primary School,1987-10-14,Invergordon,01349 853300 Primary 57 3.7 Open
5117224,Obsdale Primary School,1812-6-8,Alness Ross-Shire,01349 882860 Primary 80 7.8 Open
5117429,Poolewe Primary School,1904-11-16,Poolewe Achnasheen,01445 781340 Primary 27 2.5 Open
5117828,Shieldaig Primary School,1967-4-5,Shieldaig Strathcarron,01520 755269 Primary 8 1.6 Open
5118123,Strathconon Primary School,1875-2-27,Strathconon Muir Of Ord,01997 477257 Primary 7 1.0 Open
5118220,Strathgarve Primary School,1853-12-17,Garve,01997 414286 01997 414354 Primary 12 1.3 Open
5118328,Knockbreck Primary School,1946-12-20,Tain,01862 892272 Primary 83 5.1 Open
5118425,Tarbat Old Primary School,1805-9-19,Tarbatness Road Portmahomack,01862 871536 01862 871536 Primary 38 3.0 Open
5118522,Tarradale Primary School,1955-5-26,Black Isle Road Muir of Ord,01463 870484 Primary 209 11.2 Open
5118727,Tore Primary School,1947-1-1,Tore Muir Of Ord,01463 811481 Primary 61 3.5 Open
5118824,Torridon Primary School,1838-10-2,Fasaig Torridon Achnasheen,01445 791316 Primary 6 1.8 Open
